gauge_id,station_name,river,latitude,longitude,altitude,area,country,source,station_code,display_timezone,owner_id,owner_name,provider_start_date,provider_end_date
1485,Neoxori Bridge,,39.070688,21.025465,,,Greece,OpenHI / Enhydris public API,Neoxori,Etc/GMT-2,21,Laboratory of Knowledge and Intelligent Computing (KIC),,
1486,Αλαγονία (Νερόμυλος Ρεντίφη) - Alagonia,,37.104089,22.2325,562.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,17,Εθνικό Αστεροσκοπείο Αθηνών,2018-07-05,
1487,Νέδουσα - Nedousa,,37.116714,22.203611,392.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,17,Εθνικό Αστεροσκοπείο Αθηνών,2018-07-05,
1488,Σέλας (Γέφυρα Γκολφ Costa Navarino) - Selas,,36.99445,21.658197,9.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,17,Εθνικό Αστεροσκοπείο Αθηνών,,
1534,Αλαμάνα,,38.8125,22.4952,,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,11,Ελληνικό Κέντρο Θαλάσσιων Ερευνών,,
1544,Νομή,,39.52657,21.93833,,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,11,Ελληνικό Κέντρο Θαλάσσιων Ερευνών,,
1545,Γ. Γιάννουλη,,39.65246,22.4078,,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,11,Ελληνικό Κέντρο Θαλάσσιων Ερευνών,,
1546,Τέμπη,,39.89675,22.6152,,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,11,Ελληνικό Κέντρο Θαλάσσιων Ερευνών,,
2018,Επιτάλιο,,37.64256,21.47648,1.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,11,Ελληνικό Κέντρο Θαλάσσιων Ερευνών,,
2019,Άσπρα Σπίτια,,37.586411,21.790867,56.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,11,Ελληνικό Κέντρο Θαλάσσιων Ερευνών,,
2020,Μεσοχώρα Κατάντη,,39.420104,21.262608,581.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,11,Ελληνικό Κέντρο Θαλάσσιων Ερευνών,,
2022,Ευρώτας - Eurotas,,37.130856,22.399872,224.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT,17,Εθνικό Αστεροσκοπείο Αθηνών,,
2039,Λούσιος (Γέφυρα Ατσίχολου) - Loussios (Atsicholos Bridge),,37.511414,22.038225,230.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,17,Εθνικό Αστεροσκοπείο Αθηνών,,
2075,Σαρανταπόταμος (Οινόη) - Oinoe,,38.165317,23.399436,333.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,17,Εθνικό Αστεροσκοπείο Αθηνών,,
2191,Μαυροζούμαινα - Mavrozoumena,,37.141406,21.988792,20.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,17,Εθνικό Αστεροσκοπείο Αθηνών,,
2192,Χαλάνδρι - Chalandri,,38.024,23.795431,167.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT,17,Εθνικό Αστεροσκοπείο Αθηνών,,
2193,Φιλοθέη - Filothei,,38.021644,23.785278,161.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT,17,Εθνικό Αστεροσκοπείο Αθηνών,,
2194,Ποδονίφτης - Podoniftis,,38.025381,23.730247,74.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT,17,Εθνικό Αστεροσκοπείο Αθηνών,,
2195,Προφήτης Δανιήλ - Profitis Daniel,,37.975725,23.690911,21.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT,17,Εθνικό Αστεροσκοπείο Αθηνών,,
2196,Κελεφίνα - Kelefina,,37.117986,22.453142,251.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT,17,Εθνικό Αστεροσκοπείο Αθηνών,,
2208,Τ2 Τ21 Α Ζώνη Λούρου (ΓΟΕΒ Π Άρτας),,39.07878,20.88414,-1.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,24,Περιφέρεια Ηπείρου,,
2209,Τ1 Βίγλας (ΓΟΕΒ Π Άρτας),,39.08824,20.87594,-1.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,24,Περιφέρεια Ηπείρου,,
2210,Τ2 Α Ζώνη Λούρου Τ0 Σαλαώρας (ΓΟΕΒ Π Άρτας),,39.07907,20.88588,-1.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,24,Περιφέρεια Ηπείρου,,
2213,Πάμισος - Pamissos,,37.051972,22.020492,5.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,17,Εθνικό Αστεροσκοπείο Αθηνών,,
28071,Γούρια,,38.480525,21.260677,,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,11,Ελληνικό Κέντρο Θαλάσσιων Ερευνών,,
28081,Μεσοχώρα Κατάντη (new),,39.384321,21.272844,,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,11,Ελληνικό Κέντρο Θαλάσσιων Ερευνών,,
28082,Γούρια (παροχή),,38.48039,21.26099,,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,11,Ελληνικό Κέντρο Θαλάσσιων Ερευνών,,
28083,Μυλοπόταμος - Mylopotamos,,36.24548,22.94454,255.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT,17,Εθνικό Αστεροσκοπείο Αθηνών,,
28084,Καραβάς - Karavas,,36.34579,22.94914,108.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT,17,Εθνικό Αστεροσκοπείο Αθηνών,,
4192,Τριχωνίδα,,38.590884,21.600644,16.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,11,Ελληνικό Κέντρο Θαλάσσιων Ερευνών,,
8424,Μάνδρα Ρέμα,,38.098118,23.456293,215.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,25,"Εθνικό Αστεροσκοπείο Αθηνών, ΙΑΑΔΕΤ, Κέντρο Επιστημών Παρατήρησης της Γης και Δορυφορικής Τηλεπισκόπησης BEYOND",,
8425,Μάνδρα Εκτροπή,,38.080206,23.48023,118.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,25,"Εθνικό Αστεροσκοπείο Αθηνών, ΙΑΑΔΕΤ, Κέντρο Επιστημών Παρατήρησης της Γης και Δορυφορικής Τηλεπισκόπησης BEYOND",,
8426,Μάνδρα Κόμβος,,38.072345,23.509526,61.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,25,"Εθνικό Αστεροσκοπείο Αθηνών, ΙΑΑΔΕΤ, Κέντρο Επιστημών Παρατήρησης της Γης και Δορυφορικής Τηλεπισκόπησης BEYOND",,
